genre,term,centroid_score
action,fogg,0.11000601548423772
action,fang,0.10878825080778852
action,buck,0.10856272142134783
action,tom,0.10685583377521919
action,kim,0.0989510761417469
action,captain,0.09511958285251398
action,henry,0.07747508039479403
action,sancho,0.07517566050561997
action,thou,0.07184435576775625
action,island,0.06816857000650473
action,quixote,0.06683594240092558
action,jim,0.05639669772446462
fantasy,alice,0.2796267457886692
fantasy,dorothy,0.11868550008094315
fantasy,peter,0.11726622269983314
fantasy,toad,0.10081104202504024
fantasy,mole,0.0662109364423641
fantasy,rat,0.06579743905625458
fantasy,majesty,0.06427979521335456
fantasy,scarecrow,0.06342341942775187
fantasy,ye,0.053729199653725364
fantasy,knight,0.04935675416475855
fantasy,hook,0.04805734408454091
fantasy,emperor,0.04534460782577911
romance,mrs,0.138557411310349
romance,clym,0.08413570478921782
romance,catherine,0.06998657808908448
romance,bathsheba,0.06961568028084132
romance,rochester,0.06907787844282608
romance,elinor,0.06415437216894836
romance,fanny,0.06244035579248826
romance,bella,0.061318949131919875
romance,levin,0.06121813241806533
romance,jane,0.05816718869252337
romance,tilney,0.05520160880650202
romance,elliot,0.05310282269121053
na,mrs,0.08083873105003408
na,stephen,0.05172805568691903
na,bloom,0.04819380023614546
na,anne,0.024923157023193622
na,dr,0.022934846841151497
na,thou,0.021283961353832898
na,dedalus,0.020620579897132663
na,mulligan,0.0193169800185783
na,martin,0.018350449170587313
na,peter,0.01751456337429091
na,tom,0.01727994889957563
na,madame,0.016861915467594097
allegories,grandet,0.27014111700270177
allegories,thou,0.19082606818259754
allegories,lawyer,0.18012175677121264
allegories,eugenie,0.1728701550968782
allegories,painter,0.12846962912330706
allegories,thee,0.11652966305604108
allegories,director,0.10657203807221526
allegories,hath,0.09098390632794097
allegories,thy,0.08412720723813781
allegories,yea,0.0732501647802883
allegories,uncle,0.0718874711491606
allegories,deputy,0.05987388628128597
bildung,philip,0.1068881432331624
bildung,julien,0.10614202373227281
bildung,stephen,0.09668966070696274
bildung,oliver,0.08891290263831167
bildung,harvey,0.08608586187695456
bildung,mrs,0.07352635463010074
bildung,nicholas,0.0731674049452477
bildung,peggotty,0.07000503190236076
bildung,joe,0.06628401124256177
bildung,eugene,0.0643064618261866
bildung,mme,0.0637024541423244
bildung,goriot,0.059036495453463796
history,thou,0.08555436841678397
history,prince,0.06539929683273318
history,artagnan,0.06343215185596793
history,ye,0.053556395159060924
history,thy,0.0530249351016386
history,thee,0.052898807082917075
history,alan,0.042088395505954314
history,glaucus,0.04178710527623732
history,brett,0.03917809744894982
history,uncle,0.03794060734809305
history,bishop,0.03789453261273023
history,dick,0.036600535805054485
horror,christine,0.30918130527343757
horror,erik,0.25345741396243143
horror,raoul,0.24334050009261085
horror,elizabeth,0.2282097727920304
horror,cottage,0.09186709202623863
horror,persian,0.08880170291611872
horror,fiend,0.08481122935976926
horror,victor,0.07114098941198653
horror,richard,0.07039014125261314
horror,monster,0.06963882191815804
horror,lake,0.06768825780420595
horror,opera,0.0638500886362228
political,mrs,0.14482776337422157
political,gould,0.1293796753199523
political,étienne,0.12823138936168038
political,fielding,0.11027654323031134
political,inspector,0.07873410166736462
political,barnaby,0.0782730661950935
political,dollars,0.07294956744648048
political,tom,0.06843003392881661
political,commissioner,0.06649554071806793
political,eva,0.06512822880824903
political,hugh,0.06088453640639265
political,clare,0.05684301362510238
scifi,_nautilus_,0.1494522098665235
scifi,machine,0.14611192739462536
scifi,uncle,0.12680848494385322
scifi,harding,0.11599510964257642
scifi,hans,0.10504094206281565
scifi,traveller,0.08928714606895267
scifi,nemo,0.084438412073521
scifi,pit,0.08069110503722138
scifi,neb,0.07893553476926807
scifi,cyrus,0.0732061835518091
scifi,conseil,0.07224516428907791
scifi,captain,0.07060781047219938
mystery,holmes,0.48469585840195856
mystery,watson,0.18085135002126498
mystery,ralph,0.16440038352029648
mystery,caroline,0.16056904444058895
mystery,parker,0.1331298832035454
mystery,moor,0.120037377201836
mystery,inspector,0.11305940193381486
mystery,flora,0.11298124262175603
mystery,mortimer,0.10178244432252473
mystery,dr,0.09153688185909695
mystery,henry,0.08865935926908566
mystery,mrs,0.07406047220708362
autobio,swann,0.7364210917709381
autobio,odette,0.5084175795717306
autobio,mme,0.26764732998310337
autobio,verdurin,0.1886794128632867
autobio,françoise,0.17475624023282857
autobio,combray,0.16156380861946107
autobio,gilberte,0.11524131803625896
autobio,aunt,0.06018148340554889
autobio,saint,0.034613802118824546
autobio,grandmother,0.028098804529317206
autobio,mamma,0.027829409036746196
autobio,des,0.026193670122216142
